Doing parameter search with 5-fold cross validation.
(P, C) log fix range
log2P:    4.62936 log2C:  -16.00000 MSE: 2329.98178
log2P:    4.62936 log2C:  -15.00000 MSE: 1607.70756
log2P:    4.62936 log2C:  -14.00000 MSE: 1176.26957
log2P:    4.62936 log2C:  -13.00000 MSE:  950.97293
log2P:    4.62936 log2C:  -12.00000 MSE:  805.66485
log2P:    4.62936 log2C:  -11.00000 MSE:  718.39619
log2P:    4.62936 log2C:  -10.00000 MSE:  650.91429
log2P:    4.62936 log2C:   -9.00000 MSE:  650.91429
log2P:    4.62936 log2C:   -8.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -7.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -6.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -5.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -4.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -3.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -2.00000 MSE:  548.33286
log2P:    4.62936 log2C:   -1.00000 MSE:  548.33286
log2P:    4.62936 log2C:    0.00000 MSE:  548.33286
log2P:    4.62936 log2C:    1.00000 MSE:  548.33286
log2P:    4.62936 log2C:    2.00000 MSE:  548.33286
log2P:    4.62936 log2C:    3.00000 MSE:  548.33286
log2P:    4.62936 log2C:    4.00000 MSE:  548.33286
log2P:    4.62936 log2C:    5.00000 MSE:  548.33286
log2P:    4.62936 log2C:    6.00000 MSE:  548.33286
log2P:    4.62936 log2C:    7.00000 MSE:  548.33286
log2P:    4.62936 log2C:    8.00000 MSE:  548.33286
log2P:    4.62936 log2C:    9.00000 MSE:  548.33286
log2P:    4.62936 log2C:   10.00000 MSE:  548.33286
log2P:    4.62936 log2C:   11.00000 MSE:  548.33286
log2P:    4.62936 log2C:   12.00000 MSE:  548.33286
log2P:    4.62936 log2C:   13.00000 MSE:  548.33286
log2P:    4.62936 log2C:   14.00000 MSE:  548.33286
log2P:    4.62936 log2C:   15.00000 MSE:  548.33286
log2P:    4.62936 log2C:   16.00000 MSE:  548.33286
log2P:    4.62936 log2C:   17.00000 MSE:  548.33286
log2P:    4.62936 log2C:   18.00000 MSE:  548.33286
log2P:    4.62936 log2C:   19.00000 MSE:  548.33286
log2P:    4.62936 log2C:   20.00000 MSE:  548.33286
log2P:    4.62936 log2C:   21.00000 MSE:  548.33286
log2P:    4.62936 log2C:   22.00000 MSE:  548.33286
